Ind,Population,C1,C2,C3
QAc-G-0029,AP,0.979,0.014,0.007
QAc-G-0030,AP,0.992,0.005,0.004
QAc-G-0031,AP,0.99,0.006,0.003
NA,NA,0,0,0
QAc-G-0061,Arnold,0.991,0.004,0.005
QAc-G-0062,Arnold,0.009,0.274,0.717
QAc-G-0063,Arnold,0.008,0.942,0.05
QAc-G-0064,Arnold,0.005,0.008,0.988
QAc-G-0065,Arnold,0.016,0.004,0.979
QAc-G-0066,Arnold,0.006,0.99,0.004
QAc-G-0067,Arnold,0.037,0.007,0.956
QAc-G-0068,Arnold,0.008,0.757,0.236
QAc-G-0070,Arnold,0.009,0.87,0.121
QAc-G-0071,Arnold,0.007,0.989,0.004
QAc-G-0072,Arnold,0.005,0.99,0.005
QAc-G-0073,Arnold,0.014,0.007,0.98
QAc-G-0074,Arnold,0.007,0.347,0.647
QAc-G-0075,Arnold,0.012,0.017,0.971
QAc-G-0076,Arnold,0.014,0.014,0.972
QAc-G-0077,Arnold,0.985,0.009,0.005
QAc-G-0078,Arnold,0.993,0.004,0.003
QAc-G-0079,Arnold,0.991,0.005,0.004
QAc-G-0080,Arnold,0.737,0.015,0.248
QAc-G-0081,Arnold,0.009,0.011,0.98
QAc-G-0082,Arnold,0.015,0.004,0.981
QAc-G-0083,Arnold,0.068,0.431,0.5
NA,NA,0,0,0
QAc-G-0001,Bartlett,0.99,0.006,0.004
QAc-G-0002,Bartlett,0.993,0.004,0.004
NA,NA,0,0,0
QAc-G-0285,CBG,0.013,0.971,0.015
QAc-G-0286,CBG,0.004,0.992,0.003
QAc-G-0287,CBG,0.004,0.993,0.003
QAc-G-0288,CBG,0.015,0.977,0.008
QAc-G-0289,CBG,0.005,0.991,0.004
QAc-G-0290,CBG,0.004,0.991,0.005
QAc-G-0291,CBG,0.008,0.989,0.003
QAc-G-0292,CBG,0.004,0.945,0.051
QAc-G-0293,CBG,0.008,0.989,0.003
QAc-G-0294,CBG,0.017,0.007,0.976
QAc-G-0295,CBG,0.03,0.022,0.948
QAc-G-0296,CBG,0.005,0.014,0.98
QAc-G-0297,CBG,0.008,0.003,0.989
QAc-G-0298,CBG,0.016,0.007,0.977
QAc-G-0299,CBG,0.011,0.015,0.974
QAc-G-0300,CBG,0.005,0.005,0.99
QAc-G-0301,CBG,0.014,0.023,0.963
QAc-G-0302,CBG,0.005,0.006,0.989
QAc-G-0303,CBG,0.005,0.012,0.983
QAc-G-0304,CBG,0.004,0.992,0.004
QAc-G-0305,CBG,0.136,0.819,0.045
QAc-G-0306,CBG,0.005,0.992,0.003
QAc-G-0307,CBG,0.923,0.022,0.055
QAc-G-0308,CBG,0.973,0.016,0.01
QAc-G-0309,CBG,0.988,0.006,0.006
QAc-G-0310,CBG,0.99,0.005,0.005
QAc-G-0311,CBG,0.993,0.004,0.003
QAc-G-0312,CBG,0.513,0.009,0.478
QAc-G-0313,CBG,0.016,0.036,0.948
QAc-G-0314,CBG,0.01,0.005,0.985
QAc-G-0315,CBG,0.005,0.031,0.963
QAc-G-0316,CBG,0.077,0.016,0.907
NA,NA,0,0,0
QAc-G-0032,DBG,0.007,0.01,0.982
QAc-G-0033,DBG,0.009,0.007,0.984
QAc-G-0034,DBG,0.061,0.008,0.931
QAc-G-0035,DBG,0.01,0.013,0.978
QAc-G-0036,DBG,0.014,0.029,0.957
QAc-G-0037,DBG,0.049,0.039,0.912
QAc-G-0038,DBG,0.003,0.005,0.992
QAc-G-0039,DBG,0.057,0.01,0.933
QAc-G-0040,DBG,0.01,0.032,0.957
QAc-G-0041,DBG,0.006,0.005,0.989
QAc-G-0042,DBG,0.005,0.015,0.98
QAc-G-0043,DBG,0.034,0.016,0.951
QAc-G-0044,DBG,0.005,0.02,0.974
QAc-G-0045,DBG,0.041,0.015,0.944
QAc-G-0046,DBG,0.056,0.005,0.939
QAc-G-0047,DBG,0.054,0.012,0.934
QAc-G-0048,DBG,0.004,0.007,0.989
QAc-G-0049,DBG,0.991,0.006,0.003
QAc-G-0050,DBG,0.22,0.09,0.69
QAc-G-0051,DBG,0.992,0.004,0.003
QAc-G-0052,DBG,0.983,0.005,0.012
QAc-G-0053,DBG,0.984,0.01,0.006
QAc-G-0054,DBG,0.447,0.006,0.547
QAc-G-0055,DBG,0.646,0.006,0.348
QAc-G-0056,DBG,0.034,0.014,0.952
QAc-G-0057,DBG,0.991,0.005,0.004
QAc-G-0058,DBG,0.992,0.004,0.004
QAc-G-0059,DBG,0.724,0.004,0.273
QAc-G-0060,DBG,0.977,0.012,0.011
NA,NA,0,0,0
QAc-G-0276,FGT,0.022,0.963,0.015
QAc-G-0279,FGT,0.007,0.989,0.004
QAc-G-0280,FGT,0.005,0.987,0.008
QAc-G-0281,FGT,0.988,0.007,0.004
NA,NA,0,0,0
QAc-G-0018,HBG,0.058,0.016,0.926
QAc-G-0019,HBG,0.006,0.025,0.969
QAc-G-0020,HBG,0.014,0.005,0.981
QAc-G-0021,HBG,0.017,0.005,0.978
QAc-G-0022,HBG,0.009,0.006,0.985
QAc-G-0023,HBG,0.991,0.005,0.004
QAc-G-0024,HBG,0.991,0.004,0.005
QAc-G-0016,HBG,0.298,0.02,0.682
QAc-G-0017,HBG,0.004,0.013,0.983
NA,NA,0,0,0
QAc-G-0250,Meis,0.045,0.588,0.367
NA,NA,0,0,0
QAc-G-0003,MBG,0.006,0.989,0.005
QAc-G-0004,MBG,0.007,0.005,0.989
QAc-G-0005,MBG,0.009,0.01,0.981
QAc-G-0006,MBG,0.006,0.008,0.987
NA,NA,0,0,0
QAc-G-0283,Moore,0.006,0.012,0.982
NA,NA,0,0,0
QAc-G-0265,MA,0.41,0.039,0.551
QAc-G-0266,MA,0.991,0.006,0.003
QAc-G-0267,MA,0.01,0.045,0.945
QAc-G-0268,MA,0.022,0.64,0.337
QAc-G-0269,MA,0.006,0.991,0.004
QAc-G-0270,MA,0.007,0.015,0.978
QAc-G-0271,MA,0.005,0.006,0.989
QAc-G-0272,MA,0.013,0.083,0.904
QAc-G-0273,MA,0.988,0.005,0.006
QAc-G-0274,MA,0.005,0.005,0.99
NA,NA,0,0,0
QAc-G-0251,Peckerwood,0.007,0.006,0.987
QAc-G-0252,Peckerwood,0.006,0.01,0.984
QAc-G-0253,Peckerwood,0.99,0.006,0.004
QAc-G-0254,Peckerwood,0.993,0.003,0.003
QAc-G-0255,Peckerwood,0.005,0.005,0.991
QAc-G-0256,Peckerwood,0.008,0.022,0.97
QAc-G-0257,Peckerwood,0.008,0.004,0.988
QAc-G-0258,Peckerwood,0.004,0.004,0.992
QAc-G-0259,Peckerwood,0.004,0.004,0.993
QAc-G-0260,Peckerwood,0.008,0.057,0.935
QAc-G-0261,Peckerwood,0.01,0.009,0.982
QAc-G-0262,Peckerwood,0.016,0.02,0.964
NA,NA,0,0,0
QAc-G-0010,TMA,0.018,0.964,0.018
QAc-G-0011,TMA,0.006,0.005,0.99
QAc-G-0015,TMA,0.924,0.009,0.067
QAc-G-0106,TMA,0.005,0.004,0.99
QAc-G-0107,TMA,0.011,0.011,0.977
QAc-G-0108,TMA,0.004,0.006,0.99
QAc-G-0109,TMA,0.01,0.007,0.984
QAc-G-0110,TMA,0.006,0.019,0.975
QAc-G-0111,TMA,0.007,0.019,0.975
QAc-G-0112,TMA,0.011,0.062,0.926
QAc-G-0113,TMA,0.03,0.02,0.95
QAc-G-0114,TMA,0.008,0.016,0.975
QAc-G-0115,TMA,0.004,0.006,0.989
QAc-G-0116,TMA,0.012,0.02,0.969
QAc-G-0117,TMA,0.013,0.008,0.978
QAc-G-0118,TMA,0.003,0.006,0.991
QAc-G-0119,TMA,0.007,0.003,0.99
QAc-G-0120,TMA,0.007,0.006,0.988
QAc-G-0121,TMA,0.005,0.004,0.991
QAc-G-0122,TMA,0.006,0.047,0.947
QAc-G-0123,TMA,0.004,0.003,0.993
QAc-G-0124,TMA,0.008,0.005,0.987
QAc-G-0125,TMA,0.028,0.043,0.929
QAc-G-0126,TMA,0.034,0.008,0.958
QAc-G-0127,TMA,0.006,0.005,0.989
QAc-G-0128,TMA,0.011,0.045,0.944
QAc-G-0129,TMA,0.005,0.013,0.982
QAc-G-0130,TMA,0.003,0.005,0.992
QAc-G-0131,TMA,0.006,0.006,0.987
QAc-G-0132,TMA,0.01,0.013,0.977
QAc-G-0133,TMA,0.006,0.009,0.985
QAc-G-0134,TMA,0.013,0.011,0.976
QAc-G-0135,TMA,0.01,0.005,0.985
QAc-G-0136,TMA,0.009,0.018,0.973
QAc-G-0137,TMA,0.005,0.008,0.988
QAc-G-0138,TMA,0.017,0.006,0.977
QAc-G-0139,TMA,0.003,0.005,0.992
QAc-G-0140,TMA,0.007,0.009,0.984
QAc-G-0141,TMA,0.037,0.025,0.938
QAc-G-0142,TMA,0.004,0.005,0.991
QAc-G-0143,TMA,0.017,0.011,0.972
QAc-G-0144,TMA,0.011,0.012,0.978
QAc-G-0145,TMA,0.004,0.992,0.004
QAc-G-0146,TMA,0.008,0.011,0.981
QAc-G-0147,TMA,0.007,0.007,0.986
QAc-G-0148,TMA,0.006,0.01,0.985
QAc-G-0149,TMA,0.005,0.005,0.99
QAc-G-0150,TMA,0.006,0.99,0.004
QAc-G-0151,TMA,0.005,0.016,0.979
QAc-G-0152,TMA,0.012,0.007,0.981
QAc-G-0153,TMA,0.003,0.016,0.981
QAc-G-0154,TMA,0.005,0.013,0.983
QAc-G-0155,TMA,0.004,0.007,0.989
QAc-G-0158,TMA,0.01,0.014,0.977
QAc-G-0159,TMA,0.006,0.015,0.979
QAc-G-0160,TMA,0.004,0.993,0.003
QAc-G-0161,TMA,0.004,0.993,0.003
QAc-G-0162,TMA,0.011,0.743,0.246
QAc-G-0163,TMA,0.003,0.983,0.013
QAc-G-0164,TMA,0.009,0.985,0.005
QAc-G-0165,TMA,0.004,0.989,0.007
QAc-G-0166,TMA,0.004,0.991,0.005
QAc-G-0167,TMA,0.005,0.989,0.005
QAc-G-0168,TMA,0.005,0.992,0.003
QAc-G-0169,TMA,0.007,0.506,0.487
QAc-G-0170,TMA,0.006,0.989,0.005
QAc-G-0171,TMA,0.005,0.991,0.004
QAc-G-0172,TMA,0.014,0.016,0.97
QAc-G-0173,TMA,0.008,0.989,0.004
QAc-G-0174,TMA,0.009,0.942,0.05
QAc-G-0175,TMA,0.005,0.992,0.004
QAc-G-0176,TMA,0.016,0.91,0.074
QAc-G-0177,TMA,0.006,0.991,0.004
QAc-G-0178,TMA,0.027,0.962,0.011
QAc-G-0179,TMA,0.004,0.992,0.003
QAc-G-0180,TMA,0.004,0.992,0.004
QAc-G-0181,TMA,0.003,0.991,0.006
QAc-G-0182,TMA,0.004,0.967,0.029
QAc-G-0183,TMA,0.007,0.989,0.004
QAc-G-0184,TMA,0.004,0.992,0.004
QAc-G-0185,TMA,0.006,0.983,0.011
QAc-G-0186,TMA,0.003,0.991,0.006
QAc-G-0187,TMA,0.027,0.963,0.01
QAc-G-0188,TMA,0.004,0.2,0.796
QAc-G-0189,TMA,0.006,0.991,0.003
QAc-G-0190,TMA,0.006,0.989,0.005
QAc-G-0191,TMA,0.006,0.99,0.005
QAc-G-0192,TMA,0.004,0.993,0.003
QAc-G-0193,TMA,0.005,0.99,0.005
QAc-G-0194,TMA,0.006,0.988,0.005
QAc-G-0195,TMA,0.085,0.907,0.008
QAc-G-0196,TMA,0.007,0.99,0.004
QAc-G-0197,TMA,0.004,0.992,0.003
QAc-G-0198,TMA,0.004,0.992,0.004
QAc-G-0199,TMA,0.017,0.942,0.041
QAc-G-0200,TMA,0.004,0.989,0.007
QAc-G-0201,TMA,0.004,0.992,0.004
QAc-G-0202,TMA,0.012,0.984,0.005
QAc-G-0203,TMA,0.015,0.979,0.005
QAc-G-0204,TMA,0.006,0.989,0.005
QAc-G-0205,TMA,0.993,0.004,0.003
QAc-G-0206,TMA,0.895,0.004,0.101
QAc-G-0207,TMA,0.985,0.007,0.008
QAc-G-0208,TMA,0.992,0.004,0.004
QAc-G-0209,TMA,0.988,0.008,0.004
QAc-G-0210,TMA,0.993,0.003,0.004
QAc-G-0211,TMA,0.993,0.003,0.004
QAc-G-0212,TMA,0.991,0.005,0.004
QAc-G-0213,TMA,0.99,0.006,0.005
QAc-G-0214,TMA,0.992,0.005,0.003
QAc-G-0215,TMA,0.992,0.004,0.004
QAc-G-0216,TMA,0.286,0.163,0.551
QAc-G-0217,TMA,0.985,0.006,0.01
QAc-G-0218,TMA,0.988,0.006,0.006
QAc-G-0219,TMA,0.967,0.01,0.024
QAc-G-0220,TMA,0.985,0.004,0.011
QAc-G-0221,TMA,0.971,0.011,0.018
QAc-G-0222,TMA,0.991,0.005,0.004
QAc-G-0223,TMA,0.991,0.004,0.005
QAc-G-0224,TMA,0.99,0.006,0.004
QAc-G-0226,TMA,0.991,0.004,0.004
QAc-G-0227,TMA,0.007,0.015,0.978
QAc-G-0228,TMA,0.019,0.012,0.969
QAc-G-0229,TMA,0.01,0.014,0.976
QAc-G-0230,TMA,0.036,0.013,0.951
QAc-G-0231,TMA,0.988,0.007,0.005
QAc-G-0232,TMA,0.005,0.003,0.992
QAc-G-0233,TMA,0.023,0.006,0.971
QAc-G-0234,TMA,0.008,0.024,0.967
QAc-G-0235,TMA,0.015,0.011,0.974
QAc-G-0236,TMA,0.009,0.01,0.981
QAc-G-0237,TMA,0.019,0.021,0.959
QAc-G-0238,TMA,0.027,0.014,0.96
QAc-G-0239,TMA,0.008,0.007,0.985
QAc-G-0240,TMA,0.004,0.006,0.991
QAc-G-0241,TMA,0.007,0.016,0.977
QAc-G-0242,TMA,0.015,0.007,0.978
QAc-G-0243,TMA,0.013,0.005,0.982
QAc-G-0244,TMA,0.011,0.014,0.975
QAc-G-0245,TMA,0.005,0.012,0.984
QAc-G-0246,TMA,0.008,0.013,0.979
QAc-G-0247,TMA,0.011,0.004,0.985
QAc-G-0248,TMA,0.005,0.004,0.991
NA,NA,0,0,0
QAc-G-0249,TTA,0.016,0.05,0.934
NA,NA,0,0,0
QAc-G-0025,USNA,0.991,0.005,0.004
QAc-G-0028,USNA,0.035,0.013,0.952
NA,NA,0,0,0
QAc-G-0275,UWBG,0.983,0.012,0.005
NA,NA,0,0,0
QAc-G-0263,ZBGP,0.094,0.497,0.41
NA,NA,0,0,0
QAc-W-0001,Porter,0.008,0.004,0.988
QAc-W-0002,Porter,0.006,0.029,0.965
QAc-W-0003,Porter,0.031,0.014,0.955
QAc-W-0004,Porter,0.023,0.014,0.964
QAc-W-0005,Porter,0.007,0.014,0.979
QAc-W-0006,Porter,0.011,0.008,0.981
QAc-W-0007,Porter,0.009,0.006,0.986
QAc-W-0008,Porter,0.004,0.006,0.99
QAc-W-0009,Porter,0.008,0.019,0.973
QAc-W-0010,Porter,0.007,0.012,0.981
QAc-W-0011,Porter,0.016,0.019,0.964
QAc-W-0012,Porter,0.008,0.016,0.976
QAc-W-0013,Porter,0.188,0.015,0.797
QAc-W-0014,Porter,0.006,0.005,0.989
QAc-W-0015,Porter,0.032,0.098,0.869
QAc-W-0016,Porter,0.012,0.008,0.98
QAc-W-0017,Porter,0.029,0.033,0.938
QAc-W-0018,Porter,0.032,0.005,0.963
QAc-W-0019,Porter,0.011,0.013,0.976
QAc-W-0020,Porter,0.004,0.006,0.99
QAc-W-0021,Porter,0.137,0.021,0.842
QAc-W-0022,Porter,0.025,0.018,0.957
QAc-W-0023,Porter,0.014,0.004,0.982
QAc-W-0024,Porter,0.148,0.058,0.795
QAc-W-0025,Porter,0.007,0.008,0.985
QAc-W-0026,Porter,0.042,0.064,0.894
QAc-W-0027,Porter,0.007,0.016,0.977
QAc-W-0028,Porter,0.005,0.01,0.985
QAc-W-0029,Porter,0.009,0.004,0.987
QAc-W-0030,Porter,0.008,0.021,0.971
QAc-W-0031,Porter,0.12,0.008,0.872
QAc-W-0032,Porter,0.006,0.003,0.991
QAc-W-0033,Porter,0.011,0.008,0.981
QAc-W-0034,Porter,0.005,0.006,0.989
QAc-W-0035,Porter,0.014,0.018,0.968
QAc-W-0036,Porter,0.005,0.005,0.991
QAc-W-0037,Porter,0.025,0.043,0.932
QAc-W-0038,Porter,0.006,0.025,0.969
QAc-W-0039,Porter,0.033,0.088,0.879
QAc-W-0040,Porter,0.01,0.015,0.975
QAc-W-0041,Porter,0.172,0.04,0.788
NA,NA,0,0,0
QAc-W-0042,Magazine,0.014,0.024,0.963
QAc-W-0043,Magazine,0.014,0.053,0.933
QAc-W-0044,Magazine,0.005,0.033,0.962
QAc-W-0045,Magazine,0.007,0.01,0.983
QAc-W-0046,Magazine,0.019,0.032,0.949
QAc-W-0047,Magazine,0.004,0.022,0.975
QAc-W-0048,Magazine,0.011,0.004,0.985
QAc-W-0049,Magazine,0.015,0.004,0.981
QAc-W-0050,Magazine,0.029,0.01,0.961
QAc-W-0051,Magazine,0.01,0.029,0.961
QAc-W-0052,Magazine,0.004,0.006,0.99
QAc-W-0053,Magazine,0.004,0.004,0.992
QAc-W-0054,Magazine,0.007,0.203,0.79
QAc-W-0055,Magazine,0.065,0.6,0.335
QAc-W-0056,Magazine,0.05,0.015,0.935
QAc-W-0057,Magazine,0.097,0.052,0.851
QAc-W-0058,Magazine,0.261,0.028,0.711
QAc-W-0059,Magazine,0.004,0.008,0.988
QAc-W-0060,Magazine,0.008,0.778,0.214
QAc-W-0061,Magazine,0.025,0.901,0.074
QAc-W-0062,Magazine,0.052,0.796,0.151
QAc-W-0063,Magazine,0.036,0.377,0.587
QAc-W-0064,Magazine,0.03,0.746,0.224
QAc-W-0065,Magazine,0.017,0.64,0.343
QAc-W-0066,Magazine,0.006,0.991,0.003
QAc-W-0067,Magazine,0.004,0.992,0.004
QAc-W-0068,Magazine,0.004,0.993,0.003
QAc-W-0069,Magazine,0.005,0.992,0.004
QAc-W-0070,Magazine,0.004,0.993,0.004
QAc-W-0071,Magazine,0.006,0.987,0.006
QAc-W-0072,Magazine,0.009,0.168,0.822
QAc-W-0073,Magazine,0.018,0.357,0.625
QAc-W-0074,Magazine,0.014,0.957,0.029
QAc-W-0075,Magazine,0.008,0.981,0.011
QAc-W-0076,Magazine,0.04,0.857,0.103
QAc-W-0077,Magazine,0.004,0.945,0.05
NA,NA,0,0,0
QAc-W-0078,Pryor,0.641,0.052,0.307
QAc-W-0079,Pryor,0.958,0.03,0.012
QAc-W-0080,Pryor,0.972,0.005,0.023
QAc-W-0081,Pryor,0.99,0.004,0.006
QAc-W-0082,Pryor,0.588,0.012,0.4
QAc-W-0083,Pryor,0.918,0.046,0.036
QAc-W-0084,Pryor,0.989,0.005,0.006
QAc-W-0085,Pryor,0.991,0.005,0.004
QAc-W-0086,Pryor,0.986,0.007,0.007
QAc-W-0087,Pryor,0.984,0.008,0.008
QAc-W-0088,Pryor,0.97,0.004,0.026
QAc-W-0089,Pryor,0.987,0.007,0.005
QAc-W-0090,Pryor,0.988,0.007,0.005
QAc-W-0091,Pryor,0.977,0.008,0.015
QAc-W-0092,Pryor,0.651,0.008,0.341
QAc-W-0093,Pryor,0.808,0.004,0.188
QAc-W-0094,Pryor,0.693,0.007,0.3
QAc-W-0095,Pryor,0.971,0.006,0.023
QAc-W-0096,Pryor,0.789,0.036,0.176
QAc-W-0097,Pryor,0.817,0.012,0.171
QAc-W-0098,Pryor,0.99,0.004,0.006
QAc-W-0099,Pryor,0.873,0.006,0.121
QAc-W-0100,Pryor,0.988,0.005,0.007
QAc-W-0101,Pryor,0.961,0.032,0.007
QAc-W-0104,Pryor,0.968,0.006,0.027
QAc-W-0105,Pryor,0.987,0.006,0.007
QAc-W-0106,Pryor,0.973,0.006,0.021
QAc-W-0107,Pryor,0.988,0.007,0.005
QAc-W-0108,Pryor,0.988,0.008,0.004
QAc-W-0109,Pryor,0.968,0.021,0.012
QAc-W-0110,Pryor,0.374,0.015,0.611
QAc-W-0111,Pryor,0.986,0.006,0.008
QAc-W-0112,Pryor,0.977,0.005,0.019
NA,NA,0,0,0
QAc-W-0113,Sugar_Loaf,0.013,0.005,0.983
QAc-W-0114,Sugar_Loaf,0.053,0.009,0.938
QAc-W-0115,Sugar_Loaf,0.011,0.012,0.977
QAc-W-0116,Sugar_Loaf,0.008,0.003,0.989
QAc-W-0117,Sugar_Loaf,0.004,0.006,0.99
QAc-W-0118,Sugar_Loaf,0.08,0.075,0.844
QAc-W-0119,Sugar_Loaf,0.01,0.031,0.959
QAc-W-0120,Sugar_Loaf,0.008,0.036,0.956
QAc-W-0121,Sugar_Loaf,0.005,0.078,0.918
QAc-W-0122,Sugar_Loaf,0.013,0.006,0.981
QAc-W-0123,Sugar_Loaf,0.026,0.009,0.965
QAc-W-0124,Sugar_Loaf,0.075,0.118,0.807
QAc-W-0125,Sugar_Loaf,0.04,0.034,0.926
QAc-W-0126,Sugar_Loaf,0.057,0.012,0.932
QAc-W-0127,Sugar_Loaf,0.006,0.007,0.987
QAc-W-0128,Sugar_Loaf,0.041,0.014,0.945
QAc-W-0129,Sugar_Loaf,0.009,0.007,0.984
QAc-W-0130,Sugar_Loaf,0.013,0.007,0.98
QAc-W-0131,Sugar_Loaf,0.015,0.01,0.975
QAc-W-0132,Sugar_Loaf,0.04,0.039,0.922
QAc-W-0133,Sugar_Loaf,0.058,0.175,0.767
QAc-W-0134,Sugar_Loaf,0.011,0.009,0.98
QAc-W-0135,Sugar_Loaf,0.007,0.024,0.969
QAc-W-0136,Sugar_Loaf,0.006,0.008,0.986
QAc-W-0137,Sugar_Loaf,0.004,0.009,0.987
QAc-W-0138,Sugar_Loaf,0.004,0.008,0.989
QAc-W-0139,Sugar_Loaf,0.033,0.035,0.931
QAc-W-0140,Sugar_Loaf,0.004,0.007,0.989
QAc-W-0141,Sugar_Loaf,0.009,0.014,0.977
QAc-W-0142,Sugar_Loaf,0.007,0.03,0.963
QAc-W-0143,Sugar_Loaf,0.027,0.008,0.965
QAc-W-0144,Sugar_Loaf,0.011,0.004,0.986
QAc-W-0145,Sugar_Loaf,0.008,0.005,0.987
QAc-W-0146,Sugar_Loaf,0.019,0.006,0.976
QAc-W-0147,Sugar_Loaf,0.02,0.007,0.972
QAc-W-0148,Sugar_Loaf,0.005,0.015,0.981
QAc-W-0149,Sugar_Loaf,0.016,0.005,0.978
QAc-W-0150,Sugar_Loaf,0.03,0.008,0.962
QAc-W-0151,Sugar_Loaf,0.008,0.018,0.974
QAc-W-0152,Sugar_Loaf,0.009,0.013,0.978
QAc-W-0153,Sugar_Loaf,0.069,0.013,0.918
QAc-W-0154,Sugar_Loaf,0.005,0.007,0.988
QAc-W-0155,Sugar_Loaf,0.006,0.006,0.988
QAc-W-0156,Sugar_Loaf,0.107,0.004,0.889
QAc-W-0157,Sugar_Loaf,0.004,0.022,0.974
QAc-W-0158,Sugar_Loaf,0.045,0.028,0.927
QAc-W-0159,Sugar_Loaf,0.005,0.007,0.989
QAc-W-0160,Sugar_Loaf,0.008,0.007,0.985
QAc-W-0161,Sugar_Loaf,0.003,0.005,0.991
QAc-W-0162,Sugar_Loaf,0.008,0.012,0.981
QAc-W-0163,Sugar_Loaf,0.006,0.009,0.985
QAc-W-0164,Sugar_Loaf,0.008,0.014,0.977
QAc-W-0165,Sugar_Loaf,0.004,0.038,0.958
QAc-W-0166,Sugar_Loaf,0.006,0.01,0.984
