Ind,Pop,C1,C2,C3,C4,C5,C6,C7
QAc-W-0001,Porter,0.008,0.003,0.97,0.007,0.004,0.005,0.004
QAc-W-0002,Porter,0.472,0.01,0.39,0.048,0.005,0.036,0.039
QAc-W-0003,Porter,0.025,0.034,0.876,0.008,0.035,0.005,0.017
QAc-W-0004,Porter,0.004,0.004,0.973,0.004,0.007,0.004,0.004
QAc-W-0005,Porter,0.007,0.005,0.972,0.005,0.004,0.005,0.003
QAc-W-0006,Porter,0.004,0.003,0.973,0.005,0.006,0.005,0.003
QAc-W-0007,Porter,0.005,0.004,0.971,0.005,0.005,0.006,0.005
QAc-W-0008,Porter,0.018,0.004,0.947,0.005,0.003,0.01,0.013
QAc-W-0009,Porter,0.402,0.019,0.173,0.134,0.015,0.138,0.119
QAc-W-0010,Porter,0.013,0.014,0.883,0.026,0.006,0.029,0.029
QAc-W-0011,Porter,0.028,0.037,0.846,0.043,0.015,0.007,0.025
QAc-W-0012,Porter,0.011,0.006,0.955,0.007,0.005,0.01,0.007
QAc-W-0013,Porter,0.082,0.007,0.111,0.674,0.109,0.007,0.009
QAc-W-0014,Porter,0.007,0.009,0.953,0.006,0.004,0.016,0.005
QAc-W-0015,Porter,0.32,0.373,0.103,0.107,0.039,0.047,0.012
QAc-W-0016,Porter,0.016,0.014,0.79,0.004,0.028,0.038,0.11
QAc-W-0017,Porter,0.701,0.139,0.044,0.025,0.024,0.053,0.015
QAc-W-0018,Porter,0.038,0.004,0.716,0.018,0.038,0.014,0.171
QAc-W-0019,Porter,0.013,0.006,0.951,0.007,0.006,0.012,0.006
QAc-W-0020,Porter,0.046,0.005,0.925,0.007,0.003,0.004,0.009
QAc-W-0021,Porter,0.033,0.006,0.687,0.02,0.218,0.022,0.014
QAc-W-0022,Porter,0.68,0.039,0.103,0.038,0.051,0.068,0.021
QAc-W-0023,Porter,0.454,0.005,0.227,0.151,0.032,0.11,0.022
QAc-W-0024,Porter,0.095,0.018,0.676,0.008,0.184,0.012,0.007
QAc-W-0025,Porter,0.018,0.006,0.92,0.006,0.015,0.02,0.014
QAc-W-0026,Porter,0.01,0.024,0.901,0.012,0.024,0.02,0.009
QAc-W-0027,Porter,0.017,0.005,0.949,0.007,0.006,0.009,0.007
QAc-W-0028,Porter,0.165,0.007,0.796,0.016,0.003,0.006,0.007
QAc-W-0029,Porter,0.017,0.003,0.879,0.063,0.008,0.006,0.025
QAc-W-0030,Porter,0.164,0.049,0.433,0.024,0.012,0.007,0.312
QAc-W-0031,Porter,0.008,0.003,0.926,0.012,0.041,0.004,0.004
QAc-W-0032,Porter,0.008,0.003,0.969,0.004,0.004,0.008,0.005
QAc-W-0033,Porter,0.036,0.013,0.727,0.036,0.015,0.106,0.067
QAc-W-0034,Porter,0.011,0.004,0.935,0.027,0.006,0.01,0.006
QAc-W-0035,Porter,0.044,0.033,0.663,0.007,0.012,0.031,0.211
QAc-W-0036,Porter,0.008,0.004,0.959,0.013,0.003,0.007,0.004
QAc-W-0037,Porter,0.018,0.017,0.914,0.014,0.012,0.015,0.01
QAc-W-0038,Porter,0.487,0.057,0.423,0.006,0.005,0.007,0.014
QAc-W-0039,Porter,0.006,0.049,0.901,0.021,0.013,0.006,0.004
QAc-W-0040,Porter,0.009,0.011,0.746,0.004,0.018,0.206,0.006
QAc-W-0041,Porter,0.014,0.007,0.746,0.053,0.147,0.014,0.018
NA,NA,0,0,0,0,0,0,0
QAc-W-0042,Magazine,0.004,0.005,0.006,0.968,0.004,0.005,0.008
QAc-W-0043,Magazine,0.008,0.01,0.005,0.965,0.004,0.004,0.006
QAc-W-0044,Magazine,0.011,0.021,0.01,0.923,0.005,0.023,0.008
QAc-W-0045,Magazine,0.008,0.006,0.006,0.704,0.005,0.005,0.266
QAc-W-0046,Magazine,0.004,0.004,0.005,0.972,0.006,0.005,0.005
QAc-W-0047,Magazine,0.007,0.029,0.006,0.941,0.003,0.008,0.005
QAc-W-0048,Magazine,0.006,0.004,0.012,0.963,0.004,0.004,0.007
QAc-W-0049,Magazine,0.011,0.003,0.005,0.967,0.004,0.004,0.006
QAc-W-0050,Magazine,0.064,0.005,0.006,0.066,0.004,0.023,0.832
QAc-W-0051,Magazine,0.011,0.021,0.014,0.025,0.012,0.005,0.913
QAc-W-0052,Magazine,0.02,0.02,0.348,0.563,0.006,0.023,0.019
QAc-W-0053,Magazine,0.009,0.005,0.015,0.932,0.008,0.012,0.02
QAc-W-0054,Magazine,0.011,0.069,0.007,0.021,0.007,0.018,0.866
QAc-W-0055,Magazine,0.007,0.055,0.005,0.007,0.007,0.011,0.908
QAc-W-0056,Magazine,0.02,0.011,0.044,0.006,0.012,0.011,0.896
QAc-W-0057,Magazine,0.022,0.076,0.007,0.032,0.009,0.008,0.847
QAc-W-0058,Magazine,0.027,0.007,0.004,0.018,0.013,0.003,0.927
QAc-W-0059,Magazine,0.006,0.005,0.004,0.974,0.003,0.004,0.005
QAc-W-0060,Magazine,0.006,0.963,0.006,0.007,0.004,0.009,0.006
QAc-W-0061,Magazine,0.118,0.734,0.044,0.021,0.01,0.05,0.023
QAc-W-0062,Magazine,0.004,0.972,0.003,0.003,0.007,0.007,0.003
QAc-W-0063,Magazine,0.012,0.814,0.017,0.005,0.119,0.019,0.015
QAc-W-0064,Magazine,0.007,0.958,0.007,0.004,0.007,0.006,0.011
QAc-W-0065,Magazine,0.044,0.762,0.012,0.007,0.011,0.025,0.139
QAc-W-0066,Magazine,0.005,0.957,0.007,0.007,0.017,0.003,0.005
QAc-W-0067,Magazine,0.004,0.942,0.005,0.006,0.011,0.028,0.005
QAc-W-0068,Magazine,0.006,0.967,0.006,0.006,0.007,0.004,0.005
QAc-W-0069,Magazine,0.003,0.971,0.005,0.004,0.009,0.004,0.004
QAc-W-0070,Magazine,0.003,0.979,0.003,0.003,0.003,0.004,0.004
QAc-W-0071,Magazine,0.007,0.968,0.005,0.007,0.006,0.004,0.004
QAc-W-0072,Magazine,0.011,0.847,0.017,0.005,0.007,0.066,0.047
QAc-W-0073,Magazine,0.031,0.853,0.026,0.019,0.015,0.02,0.035
QAc-W-0074,Magazine,0.006,0.96,0.008,0.003,0.008,0.008,0.006
QAc-W-0075,Magazine,0.004,0.976,0.003,0.003,0.005,0.004,0.004
QAc-W-0076,Magazine,0.007,0.948,0.004,0.004,0.005,0.026,0.008
QAc-W-0077,Magazine,0.011,0.921,0.012,0.015,0.004,0.007,0.031
NA,NA,0,0,0,0,0,0,0
QAc-W-0078,Pryor,0.031,0.013,0.042,0.008,0.849,0.042,0.016
QAc-W-0079,Pryor,0.005,0.007,0.006,0.005,0.963,0.007,0.006
QAc-W-0080,Pryor,0.007,0.005,0.039,0.005,0.934,0.005,0.006
QAc-W-0081,Pryor,0.004,0.005,0.006,0.007,0.97,0.004,0.004
QAc-W-0082,Pryor,0.007,0.005,0.004,0.004,0.463,0.005,0.512
QAc-W-0083,Pryor,0.006,0.024,0.008,0.005,0.941,0.009,0.007
QAc-W-0084,Pryor,0.003,0.003,0.006,0.003,0.978,0.003,0.003
QAc-W-0085,Pryor,0.004,0.004,0.004,0.005,0.969,0.01,0.004
QAc-W-0086,Pryor,0.006,0.004,0.006,0.005,0.966,0.007,0.006
QAc-W-0087,Pryor,0.005,0.003,0.005,0.005,0.973,0.006,0.003
QAc-W-0088,Pryor,0.007,0.004,0.005,0.006,0.967,0.004,0.007
QAc-W-0089,Pryor,0.005,0.005,0.006,0.006,0.963,0.004,0.012
QAc-W-0090,Pryor,0.004,0.004,0.006,0.005,0.97,0.004,0.008
QAc-W-0091,Pryor,0.004,0.003,0.005,0.004,0.974,0.006,0.004
QAc-W-0092,Pryor,0.025,0.005,0.114,0.047,0.788,0.011,0.009
QAc-W-0093,Pryor,0.412,0.005,0.023,0.005,0.485,0.021,0.049
QAc-W-0094,Pryor,0.026,0.012,0.092,0.008,0.823,0.012,0.027
QAc-W-0095,Pryor,0.007,0.009,0.017,0.008,0.94,0.006,0.013
QAc-W-0096,Pryor,0.028,0.042,0.042,0.011,0.843,0.012,0.022
QAc-W-0097,Pryor,0.321,0.005,0.04,0.02,0.544,0.005,0.066
QAc-W-0098,Pryor,0.012,0.004,0.005,0.004,0.96,0.005,0.01
QAc-W-0099,Pryor,0.008,0.005,0.007,0.029,0.883,0.058,0.01
QAc-W-0100,Pryor,0.005,0.004,0.004,0.003,0.976,0.004,0.005
QAc-W-0101,Pryor,0.005,0.006,0.007,0.004,0.968,0.006,0.004
QAc-W-0104,Pryor,0.011,0.004,0.005,0.01,0.95,0.011,0.009
QAc-W-0105,Pryor,0.004,0.004,0.004,0.004,0.977,0.003,0.005
QAc-W-0106,Pryor,0.007,0.004,0.007,0.006,0.963,0.006,0.007
QAc-W-0107,Pryor,0.021,0.022,0.006,0.012,0.92,0.006,0.012
QAc-W-0108,Pryor,0.014,0.021,0.005,0.01,0.935,0.008,0.007
QAc-W-0109,Pryor,0.018,0.021,0.008,0.015,0.917,0.006,0.015
QAc-W-0110,Pryor,0.006,0.005,0.677,0.006,0.294,0.008,0.004
QAc-W-0111,Pryor,0.008,0.007,0.005,0.007,0.963,0.005,0.005
QAc-W-0112,Pryor,0.01,0.004,0.009,0.004,0.949,0.008,0.017
NA,NA,0,0,0,0,0,0,0
QAc-W-0113,Sugar_Loaf,0.008,0.005,0.011,0.006,0.005,0.956,0.008
QAc-W-0114,Sugar_Loaf,0.014,0.007,0.007,0.015,0.021,0.93,0.005
QAc-W-0115,Sugar_Loaf,0.009,0.007,0.011,0.003,0.008,0.957,0.005
QAc-W-0116,Sugar_Loaf,0.029,0.003,0.011,0.015,0.007,0.926,0.009
QAc-W-0117,Sugar_Loaf,0.012,0.004,0.005,0.005,0.003,0.968,0.004
QAc-W-0118,Sugar_Loaf,0.016,0.033,0.007,0.005,0.017,0.913,0.009
QAc-W-0119,Sugar_Loaf,0.018,0.008,0.007,0.006,0.007,0.938,0.016
QAc-W-0120,Sugar_Loaf,0.011,0.012,0.009,0.006,0.01,0.943,0.009
QAc-W-0121,Sugar_Loaf,0.015,0.017,0.006,0.017,0.003,0.927,0.014
QAc-W-0122,Sugar_Loaf,0.114,0.004,0.015,0.011,0.005,0.841,0.01
QAc-W-0123,Sugar_Loaf,0.064,0.014,0.005,0.005,0.01,0.886,0.015
QAc-W-0124,Sugar_Loaf,0.012,0.162,0.046,0.004,0.091,0.678,0.007
QAc-W-0125,Sugar_Loaf,0.014,0.007,0.008,0.005,0.016,0.945,0.007
QAc-W-0126,Sugar_Loaf,0.044,0.012,0.01,0.02,0.037,0.858,0.019
QAc-W-0127,Sugar_Loaf,0.005,0.005,0.008,0.008,0.005,0.963,0.007
QAc-W-0128,Sugar_Loaf,0.021,0.007,0.021,0.008,0.058,0.879,0.006
QAc-W-0129,Sugar_Loaf,0.017,0.013,0.074,0.005,0.006,0.874,0.011
QAc-W-0130,Sugar_Loaf,0.008,0.004,0.03,0.006,0.007,0.941,0.004
QAc-W-0131,Sugar_Loaf,0.105,0.005,0.007,0.005,0.01,0.819,0.049
QAc-W-0132,Sugar_Loaf,0.032,0.044,0.013,0.007,0.014,0.865,0.026
QAc-W-0133,Sugar_Loaf,0.035,0.043,0.011,0.018,0.171,0.544,0.179
QAc-W-0134,Sugar_Loaf,0.005,0.006,0.004,0.007,0.004,0.969,0.005
QAc-W-0135,Sugar_Loaf,0.012,0.028,0.063,0.007,0.005,0.877,0.007
QAc-W-0136,Sugar_Loaf,0.006,0.004,0.004,0.003,0.004,0.975,0.004
QAc-W-0137,Sugar_Loaf,0.004,0.005,0.003,0.004,0.003,0.977,0.004
QAc-W-0138,Sugar_Loaf,0.006,0.004,0.006,0.003,0.003,0.974,0.004
QAc-W-0139,Sugar_Loaf,0.034,0.081,0.078,0.007,0.113,0.626,0.063
QAc-W-0140,Sugar_Loaf,0.051,0.005,0.013,0.069,0.007,0.84,0.015
QAc-W-0141,Sugar_Loaf,0.474,0.018,0.058,0.012,0.012,0.393,0.033
QAc-W-0142,Sugar_Loaf,0.005,0.008,0.004,0.006,0.004,0.966,0.007
QAc-W-0143,Sugar_Loaf,0.006,0.006,0.01,0.018,0.009,0.939,0.013
QAc-W-0144,Sugar_Loaf,0.017,0.005,0.008,0.072,0.006,0.865,0.026
QAc-W-0145,Sugar_Loaf,0.02,0.004,0.004,0.004,0.003,0.956,0.008
QAc-W-0146,Sugar_Loaf,0.006,0.005,0.01,0.005,0.005,0.962,0.007
QAc-W-0147,Sugar_Loaf,0.005,0.005,0.005,0.003,0.004,0.974,0.004
QAc-W-0148,Sugar_Loaf,0.006,0.007,0.006,0.005,0.003,0.967,0.006
QAc-W-0149,Sugar_Loaf,0.018,0.005,0.019,0.078,0.011,0.853,0.015
QAc-W-0150,Sugar_Loaf,0.019,0.008,0.064,0.009,0.012,0.875,0.013
QAc-W-0151,Sugar_Loaf,0.013,0.006,0.015,0.004,0.008,0.946,0.008
QAc-W-0152,Sugar_Loaf,0.006,0.007,0.005,0.007,0.004,0.964,0.007
QAc-W-0153,Sugar_Loaf,0.903,0.027,0.006,0.004,0.032,0.014,0.015
QAc-W-0154,Sugar_Loaf,0.059,0.005,0.061,0.003,0.006,0.844,0.022
QAc-W-0155,Sugar_Loaf,0.006,0.005,0.007,0.005,0.003,0.964,0.01
QAc-W-0156,Sugar_Loaf,0.031,0.003,0.07,0.005,0.048,0.831,0.013
QAc-W-0157,Sugar_Loaf,0.044,0.018,0.007,0.012,0.004,0.902,0.015
QAc-W-0158,Sugar_Loaf,0.016,0.011,0.043,0.006,0.05,0.87,0.006
QAc-W-0159,Sugar_Loaf,0.01,0.003,0.011,0.005,0.006,0.959,0.005
QAc-W-0160,Sugar_Loaf,0.011,0.005,0.019,0.005,0.005,0.947,0.007
QAc-W-0161,Sugar_Loaf,0.01,0.004,0.049,0.018,0.007,0.906,0.007
QAc-W-0162,Sugar_Loaf,0.007,0.147,0.004,0.021,0.005,0.803,0.013
QAc-W-0163,Sugar_Loaf,0.011,0.005,0.006,0.013,0.004,0.901,0.061
QAc-W-0164,Sugar_Loaf,0.009,0.012,0.006,0.007,0.005,0.95,0.012
QAc-W-0165,Sugar_Loaf,0.018,0.03,0.005,0.004,0.003,0.922,0.018
QAc-W-0166,Sugar_Loaf,0.01,0.009,0.047,0.006,0.007,0.903,0.018
NA,NA,0,0,0,0,0,0,0
QAc-W-0167,Kessler,0.97,0.004,0.003,0.004,0.006,0.005,0.008
QAc-W-0168,Kessler,0.693,0.058,0.021,0.023,0.007,0.159,0.039
QAc-W-0169,Kessler,0.514,0.009,0.041,0.006,0.004,0.009,0.417
QAc-W-0170,Kessler,0.869,0.005,0.012,0.008,0.005,0.009,0.092
QAc-W-0171,Kessler,0.969,0.005,0.004,0.004,0.005,0.005,0.008
QAc-W-0172,Kessler,0.894,0.002,0.015,0.004,0.006,0.02,0.059
QAc-W-0173,Kessler,0.961,0.006,0.008,0.005,0.005,0.01,0.006
QAc-W-0174,Kessler,0.938,0.01,0.005,0.007,0.006,0.009,0.025
