Ind,Pop,Garden_Wild,Longitude,Latitude,0C11_1,0C11_2,1G13_1,1G13_2,G07_1,G07_2,1F02_1,1F02_2,QpZAG9_1,QpZAG9_2
QAc-G-0029,AP,Garden,0,0,210,212,171,175,206,206,165,165,256,262
QAc-G-0030,AP,Garden,0,0,202,210,175,185,206,206,165,165,246,262
QAc-G-0031,AP,Garden,0,0,202,212,175,185,206,206,165,165,262,262
QAc-G-0061,AA,Garden,0,0,212,226,181,185,206,206,165,173,258,262
QAc-G-0062,AA,Garden,0,0,216,226,175,179,206,206,163,167,254,258
QAc-G-0063,AA,Garden,0,0,200,200,179,181,206,206,161,161,250,254
QAc-G-0064,AA,Garden,0,0,202,216,179,179,206,206,161,161,256,258
QAc-G-0065,AA,Garden,0,0,202,226,171,175,206,206,167,167,258,258
QAc-G-0066,AA,Garden,0,0,200,226,181,181,206,206,161,161,250,250
QAc-G-0067,AA,Garden,0,0,202,226,171,175,206,206,161,161,254,258
QAc-G-0068,AA,Garden,0,0,200,226,175,181,206,206,161,161,254,256
QAc-G-0070,AA,Garden,0,0,200,226,175,179,206,206,161,161,250,254
QAc-G-0071,AA,Garden,0,0,212,226,173,173,0,0,0,0,242,250
QAc-G-0072,AA,Garden,0,0,200,212,173,181,206,206,161,161,250,250
QAc-G-0073,AA,Garden,0,0,200,212,171,173,206,206,161,167,252,258
QAc-G-0074,AA,Garden,0,0,200,200,173,181,206,206,161,161,258,258
QAc-G-0075,AA,Garden,0,0,202,212,171,175,206,206,161,163,246,248
QAc-G-0076,AA,Garden,0,0,200,200,173,175,206,206,153,161,258,258
QAc-G-0077,AA,Garden,0,0,202,216,181,181,206,206,165,173,262,262
QAc-G-0078,AA,Garden,0,0,202,210,175,185,206,206,165,165,262,262
QAc-G-0079,AA,Garden,0,0,200,210,171,185,206,206,165,165,262,262
QAc-G-0080,AA,Garden,0,0,224,226,171,181,206,206,167,173,242,256
QAc-G-0081,AA,Garden,0,0,200,218,177,185,206,206,163,171,242,254
QAc-G-0082,AA,Garden,0,0,200,222,171,183,206,208,163,167,252,252
QAc-G-0083,AA,Garden,0,0,200,216,173,179,206,206,161,161,242,254
QAc-G-0001,BTRL,Garden,0,0,0,0,0,0,206,206,165,165,262,262
QAc-G-0002,BTRL,Garden,0,0,202,210,171,185,206,206,165,165,262,262
QAc-G-0285,CBG,Garden,0,0,200,228,177,179,206,206,165,165,250,254
QAc-G-0286,CBG,Garden,0,0,200,212,173,181,206,206,161,161,250,254
QAc-G-0287,CBG,Garden,0,0,200,212,173,181,206,206,161,161,250,250
QAc-G-0288,CBG,Garden,0,0,200,226,0,0,206,206,161,161,250,250
QAc-G-0289,CBG,Garden,0,0,200,226,181,181,206,206,161,161,250,256
QAc-G-0290,CBG,Garden,0,0,200,226,173,181,206,206,161,161,254,256
QAc-G-0291,CBG,Garden,0,0,200,226,173,181,206,206,161,165,250,250
QAc-G-0292,CBG,Garden,0,0,200,214,179,181,206,206,161,163,250,254
QAc-G-0293,CBG,Garden,0,0,212,228,173,177,206,206,161,165,242,250
QAc-G-0294,CBG,Garden,0,0,200,212,171,171,206,206,163,165,246,258
QAc-G-0295,CBG,Garden,0,0,200,208,173,173,206,206,165,167,246,248
QAc-G-0296,CBG,Garden,0,0,200,224,173,181,206,206,161,161,246,258
QAc-G-0297,CBG,Garden,0,0,200,220,171,187,206,206,161,179,248,260
QAc-G-0298,CBG,Garden,0,0,208,212,0,0,206,206,161,165,256,258
QAc-G-0299,CBG,Garden,0,0,200,200,171,181,206,206,157,161,248,258
QAc-G-0300,CBG,Garden,0,0,200,212,171,173,206,206,163,167,256,258
QAc-G-0301,CBG,Garden,0,0,202,212,171,171,206,206,161,167,248,254
QAc-G-0302,CBG,Garden,0,0,208,210,171,187,206,208,161,163,246,256
QAc-G-0303,CBG,Garden,0,0,200,210,171,171,206,206,149,163,242,248
QAc-G-0304,CBG,Garden,0,0,212,224,173,173,206,206,161,161,250,256
QAc-G-0305,CBG,Garden,0,0,200,214,173,181,206,206,161,161,242,254
QAc-G-0306,CBG,Garden,0,0,200,226,181,181,206,206,161,161,250,254
QAc-G-0307,CBG,Garden,0,0,210,216,171,175,206,206,165,173,256,262
QAc-G-0308,CBG,Garden,0,0,212,226,181,181,206,206,173,173,256,262
QAc-G-0309,CBG,Garden,0,0,200,210,171,175,198,206,165,165,262,262
QAc-G-0310,CBG,Garden,0,0,200,212,171,175,206,206,165,165,262,262
QAc-G-0311,CBG,Garden,0,0,210,226,181,181,206,206,173,173,252,262
QAc-G-0312,CBG,Garden,0,0,210,216,171,175,206,206,161,173,248,256
QAc-G-0313,CBG,Garden,0,0,202,212,171,173,204,206,163,165,254,258
QAc-G-0314,CBG,Garden,0,0,202,212,173,183,206,206,163,177,256,258
QAc-G-0315,CBG,Garden,0,0,206,212,173,187,206,218,163,177,250,258
QAc-G-0316,CBG,Garden,0,0,200,212,179,187,206,208,163,171,258,264
QAc-G-0032,DBG,Garden,0,0,202,212,175,175,206,206,161,167,248,248
QAc-G-0033,DBG,Garden,0,0,200,200,171,171,206,206,161,161,246,248
QAc-G-0034,DBG,Garden,0,0,210,212,171,171,206,206,161,167,248,258
QAc-G-0035,DBG,Garden,0,0,200,200,181,189,206,206,161,165,254,260
QAc-G-0036,DBG,Garden,0,0,212,212,181,187,206,206,161,161,248,258
QAc-G-0037,DBG,Garden,0,0,200,200,173,181,206,206,165,167,252,258
QAc-G-0038,DBG,Garden,0,0,200,200,173,173,206,206,161,161,248,258
QAc-G-0039,DBG,Garden,0,0,210,212,173,181,206,206,163,165,246,258
QAc-G-0040,DBG,Garden,0,0,200,224,173,173,206,206,161,165,248,258
QAc-G-0041,DBG,Garden,0,0,200,200,173,179,206,206,161,165,258,258
QAc-G-0042,DBG,Garden,0,0,200,200,173,181,206,206,161,161,248,256
QAc-G-0043,DBG,Garden,0,0,200,212,173,181,206,206,161,165,258,260
QAc-G-0044,DBG,Garden,0,0,200,200,173,173,206,206,161,161,248,256
QAc-G-0045,DBG,Garden,0,0,200,200,171,181,206,206,161,161,258,258
QAc-G-0046,DBG,Garden,0,0,200,212,185,187,206,206,165,165,258,258
QAc-G-0047,DBG,Garden,0,0,200,200,173,181,206,206,165,167,258,260
QAc-G-0048,DBG,Garden,0,0,200,224,171,173,206,206,163,167,246,258
QAc-G-0049,DBG,Garden,0,0,202,212,175,175,206,206,165,165,262,262
QAc-G-0050,DBG,Garden,0,0,210,216,171,175,206,206,171,173,244,256
QAc-G-0051,DBG,Garden,0,0,202,210,175,185,206,206,165,165,242,262
QAc-G-0052,DBG,Garden,0,0,212,216,175,191,206,206,167,173,252,262
QAc-G-0053,DBG,Garden,0,0,212,226,181,181,206,206,173,173,262,262
QAc-G-0054,DBG,Garden,0,0,210,226,181,187,206,206,167,173,252,256
QAc-G-0055,DBG,Garden,0,0,210,226,171,181,206,206,165,173,252,256
QAc-G-0056,DBG,Garden,0,0,196,216,175,187,206,206,161,161,256,256
QAc-G-0057,DBG,Garden,0,0,200,210,171,175,206,206,165,165,242,262
QAc-G-0058,DBG,Garden,0,0,202,210,171,185,206,206,165,165,242,262
QAc-G-0059,DBG,Garden,0,0,210,216,175,185,206,206,171,173,252,252
QAc-G-0060,DBG,Garden,0,0,208,226,175,185,206,206,173,173,256,258
QAc-G-0276,FGT,Garden,0,0,224,226,173,181,206,206,161,161,242,242
QAc-G-0279,FGT,Garden,0,0,200,226,175,181,206,206,161,161,250,256
QAc-G-0280,FGT,Garden,0,0,200,212,0,0,206,206,161,161,254,256
QAc-G-0281,FGT,Garden,0,0,210,226,173,181,206,206,173,173,242,256
QAc-G-0018,HBG,Garden,0,0,200,212,171,173,206,206,161,167,248,258
QAc-G-0019,HBG,Garden,0,0,212,224,173,173,206,206,161,167,254,256
QAc-G-0020,HBG,Garden,0,0,200,200,173,173,206,206,165,165,252,258
QAc-G-0021,HBG,Garden,0,0,202,202,171,173,206,206,0,0,252,258
QAc-G-0022,HBG,Garden,0,0,200,202,171,187,206,206,0,0,242,258
QAc-G-0023,HBG,Garden,0,0,200,210,171,181,206,206,165,173,242,242
QAc-G-0024,HBG,Garden,0,0,200,212,171,171,206,206,165,165,246,262
QAc-G-0016,HBG,Garden,0,0,210,226,173,181,206,206,161,173,248,252
QAc-G-0017,HBG,Garden,0,0,202,210,171,183,204,206,163,167,248,258
QAc-G-0250,MeBG,Garden,0,0,224,226,173,179,206,206,161,161,252,252
QAc-G-0003,MBG,Garden,0,0,200,226,0,0,206,206,161,161,250,256
QAc-G-0004,MBG,Garden,0,0,200,210,171,171,204,206,163,165,248,260
QAc-G-0005,MBG,Garden,0,0,202,226,171,175,206,206,161,167,258,258
QAc-G-0006,MBG,Garden,0,0,200,208,171,183,206,206,163,163,252,252
QAc-G-0283,MFBG,Garden,0,0,220,238,183,187,206,206,163,167,242,242
QAc-G-0265,MA,Garden,0,0,200,224,171,171,206,208,165,165,246,254
QAc-G-0266,MA,Garden,0,0,202,212,175,175,206,206,165,165,242,262
QAc-G-0267,MA,Garden,0,0,216,224,173,179,206,206,165,167,248,256
QAc-G-0268,MA,Garden,0,0,200,226,0,0,206,206,161,161,0,0
QAc-G-0269,MA,Garden,0,0,200,212,175,181,206,206,161,161,250,250
QAc-G-0270,MA,Garden,0,0,212,224,171,173,206,206,161,161,256,258
QAc-G-0271,MA,Garden,0,0,202,121,171,187,206,206,163,167,246,254
QAc-G-0272,MA,Garden,0,0,200,224,173,181,206,206,161,161,246,248
QAc-G-0273,MA,Garden,0,0,210,216,173,175,206,206,165,173,242,256
QAc-G-0274,MA,Garden,0,0,202,216,171,179,206,206,161,167,256,258
QAc-G-0251,JFG,Garden,0,0,210,212,171,171,206,206,161,161,248,256
QAc-G-0252,JFG,Garden,0,0,210,212,171,173,206,206,161,161,248,258
QAc-G-0253,JFG,Garden,0,0,200,216,173,175,206,206,165,173,242,252
QAc-G-0254,JFG,Garden,0,0,202,210,175,185,206,206,165,165,242,262
QAc-G-0255,JFG,Garden,0,0,200,208,171,183,206,206,161,171,254,254
QAc-G-0256,JFG,Garden,0,0,200,214,171,181,206,206,161,163,248,248
QAc-G-0257,JFG,Garden,0,0,206,210,171,191,206,206,161,163,248,256
QAc-G-0258,JFG,Garden,0,0,204,210,171,183,206,206,161,163,248,254
QAc-G-0259,JFG,Garden,0,0,190,200,163,165,206,208,155,163,260,276
QAc-G-0260,JFG,Garden,0,0,200,226,173,185,206,206,161,171,250,256
QAc-G-0261,JFG,Garden,0,0,216,226,171,175,206,206,167,171,248,258
QAc-G-0262,JFG,Garden,0,0,200,226,173,175,206,206,163,171,248,248
QAc-G-0010,TMA,Garden,0,0,200,228,177,179,206,206,161,165,250,254
QAc-G-0011,TMA,Garden,0,0,210,212,173,179,206,206,163,167,258,258
QAc-G-0015,TMA,Garden,0,0,202,210,175,183,206,206,165,165,242,252
QAc-G-0106,TMA,Garden,0,0,198,210,171,191,206,206,161,161,248,248
QAc-G-0107,TMA,Garden,0,0,210,214,171,187,206,206,161,163,248,248
QAc-G-0108,TMA,Garden,0,0,210,232,171,173,206,206,161,163,246,258
QAc-G-0109,TMA,Garden,0,0,210,216,171,173,204,206,163,167,242,248
QAc-G-0110,TMA,Garden,0,0,200,200,171,187,206,206,161,175,242,248
QAc-G-0111,TMA,Garden,0,0,200,210,171,187,206,206,163,167,242,248
QAc-G-0112,TMA,Garden,0,0,210,210,171,183,206,218,161,165,246,256
QAc-G-0113,TMA,Garden,0,0,216,226,171,171,206,206,161,173,248,258
QAc-G-0114,TMA,Garden,0,0,200,206,171,183,206,206,157,161,248,260
QAc-G-0115,TMA,Garden,0,0,200,212,171,183,206,206,163,169,248,252
QAc-G-0116,TMA,Garden,0,0,206,210,171,171,206,206,161,163,242,248
QAc-G-0117,TMA,Garden,0,0,200,214,171,171,206,206,161,167,252,258
QAc-G-0118,TMA,Garden,0,0,200,206,171,179,206,206,157,161,246,256
QAc-G-0119,TMA,Garden,0,0,200,208,171,183,206,206,163,163,246,254
QAc-G-0120,TMA,Garden,0,0,210,212,171,183,206,206,161,175,246,254
QAc-G-0121,TMA,Garden,0,0,200,202,171,173,206,206,167,167,254,256
QAc-G-0122,TMA,Garden,0,0,200,202,173,179,206,206,161,161,258,258
QAc-G-0123,TMA,Garden,0,0,216,216,171,171,206,206,167,167,254,256
QAc-G-0124,TMA,Garden,0,0,202,216,171,171,206,206,161,167,254,256
QAc-G-0125,TMA,Garden,0,0,202,222,173,179,204,206,165,167,254,258
QAc-G-0126,TMA,Garden,0,0,202,206,171,173,206,206,167,173,240,258
QAc-G-0127,TMA,Garden,0,0,202,216,171,179,206,206,161,161,256,258
QAc-G-0128,TMA,Garden,0,0,202,226,171,175,206,206,161,167,256,258
QAc-G-0129,TMA,Garden,0,0,216,226,171,171,206,206,161,167,254,256
QAc-G-0130,TMA,Garden,0,0,216,216,179,179,206,206,161,167,258,258
QAc-G-0131,TMA,Garden,0,0,200,202,171,173,206,206,167,167,254,256
QAc-G-0132,TMA,Garden,0,0,202,216,171,171,206,206,161,161,258,258
QAc-G-0133,TMA,Garden,0,0,202,202,179,179,206,206,161,161,258,258
QAc-G-0134,TMA,Garden,0,0,200,226,171,175,206,206,167,167,254,258
QAc-G-0135,TMA,Garden,0,0,200,210,171,183,206,206,163,169,246,256
QAc-G-0136,TMA,Garden,0,0,210,216,171,187,206,206,161,163,248,252
QAc-G-0137,TMA,Garden,0,0,200,210,171,171,206,206,161,163,248,260
QAc-G-0138,TMA,Garden,0,0,210,216,171,183,206,206,161,171,242,242
QAc-G-0139,TMA,Garden,0,0,200,206,171,173,206,206,163,169,248,258
QAc-G-0140,TMA,Garden,0,0,214,214,171,181,206,206,161,163,248,258
QAc-G-0141,TMA,Garden,0,0,200,214,171,181,206,206,161,167,242,258
QAc-G-0142,TMA,Garden,0,0,204,210,171,183,206,206,157,161,246,260
QAc-G-0143,TMA,Garden,0,0,208,212,187,193,206,206,169,173,248,254
QAc-G-0144,TMA,Garden,0,0,204,210,171,173,206,230,163,177,252,252
QAc-G-0145,TMA,Garden,0,0,200,212,173,175,206,206,161,161,250,250
QAc-G-0146,TMA,Garden,0,0,202,226,171,179,206,206,161,167,254,256
QAc-G-0147,TMA,Garden,0,0,214,216,171,173,204,206,161,163,248,256
QAc-G-0148,TMA,Garden,0,0,214,214,173,187,206,206,161,165,248,256
QAc-G-0149,TMA,Garden,0,0,200,202,173,179,206,206,167,167,254,258
QAc-G-0150,TMA,Garden,0,0,200,226,175,181,206,206,161,161,250,250
QAc-G-0151,TMA,Garden,0,0,216,226,171,179,206,206,161,161,254,258
QAc-G-0152,TMA,Garden,0,0,216,226,171,179,206,206,167,167,254,256
QAc-G-0153,TMA,Garden,0,0,216,226,177,179,206,206,161,167,256,258
QAc-G-0154,TMA,Garden,0,0,202,216,171,179,206,206,161,161,258,258
QAc-G-0155,TMA,Garden,0,0,216,216,171,179,206,206,161,167,254,258
QAc-G-0158,TMA,Garden,0,0,216,226,175,179,206,206,167,167,254,256
QAc-G-0159,TMA,Garden,0,0,200,212,171,175,206,206,163,163,258,258
QAc-G-0160,TMA,Garden,0,0,200,212,181,181,206,206,161,161,250,250
QAc-G-0161,TMA,Garden,0,0,200,212,173,181,206,206,161,161,250,250
QAc-G-0162,TMA,Garden,0,0,200,224,173,175,206,206,161,161,252,258
QAc-G-0163,TMA,Garden,0,0,212,224,173,173,206,206,161,161,250,256
QAc-G-0164,TMA,Garden,0,0,200,212,173,181,206,206,159,161,250,250
QAc-G-0165,TMA,Garden,0,0,200,226,175,181,206,206,161,161,254,256
QAc-G-0166,TMA,Garden,0,0,200,226,173,175,206,206,161,161,250,256
QAc-G-0167,TMA,Garden,0,0,200,212,173,175,206,206,161,161,250,250
QAc-G-0168,TMA,Garden,0,0,200,212,175,181,206,206,161,161,250,250
QAc-G-0169,TMA,Garden,0,0,200,206,0,0,206,206,157,161,254,254
QAc-G-0170,TMA,Garden,0,0,200,212,173,175,206,206,161,161,254,256
QAc-G-0171,TMA,Garden,0,0,212,224,173,173,206,206,161,161,250,256
QAc-G-0172,TMA,Garden,0,0,200,210,171,175,206,206,161,167,242,242
QAc-G-0173,TMA,Garden,0,0,212,228,173,177,206,206,161,165,242,250
QAc-G-0174,TMA,Garden,0,0,214,228,177,179,206,206,161,165,248,250
QAc-G-0175,TMA,Garden,0,0,200,226,181,181,206,206,161,161,250,250
QAc-G-0176,TMA,Garden,0,0,200,212,173,181,206,206,161,161,252,256
QAc-G-0177,TMA,Garden,0,0,200,212,173,181,206,206,161,161,254,256
QAc-G-0178,TMA,Garden,0,0,226,226,173,179,206,206,159,161,250,254
QAc-G-0179,TMA,Garden,0,0,212,224,173,173,206,206,161,161,250,256
QAc-G-0180,TMA,Garden,0,0,200,212,173,181,206,206,161,161,250,250
QAc-G-0181,TMA,Garden,0,0,200,226,173,181,206,206,161,161,250,250
QAc-G-0182,TMA,Garden,0,0,200,226,173,179,204,206,161,161,248,250
QAc-G-0183,TMA,Garden,0,0,200,226,181,181,204,206,161,161,250,256
QAc-G-0184,TMA,Garden,0,0,200,226,175,181,206,206,161,161,250,250
QAc-G-0185,TMA,Garden,0,0,200,226,179,181,206,206,161,161,250,254
QAc-G-0186,TMA,Garden,0,0,212,224,173,173,206,206,161,161,250,250
QAc-G-0187,TMA,Garden,0,0,200,200,175,181,206,206,159,161,250,250
QAc-G-0188,TMA,Garden,0,0,200,208,181,183,206,206,161,171,250,254
QAc-G-0189,TMA,Garden,0,0,200,226,173,181,206,206,161,161,242,250
QAc-G-0190,TMA,Garden,0,0,200,212,173,175,206,206,161,161,254,256
QAc-G-0191,TMA,Garden,0,0,200,212,173,175,206,206,161,161,254,256
QAc-G-0192,TMA,Garden,0,0,200,212,173,181,206,206,161,161,250,250
QAc-G-0193,TMA,Garden,0,0,200,212,181,181,206,206,161,161,250,256
QAc-G-0194,TMA,Garden,0,0,200,212,173,181,206,206,161,161,250,256
QAc-G-0195,TMA,Garden,0,0,200,228,177,179,206,206,165,165,242,242
QAc-G-0196,TMA,Garden,0,0,200,224,175,177,206,206,161,161,250,250
QAc-G-0197,TMA,Garden,0,0,200,212,173,181,206,206,161,161,250,256
QAc-G-0198,TMA,Garden,0,0,200,224,173,175,206,206,161,161,250,250
QAc-G-0199,TMA,Garden,0,0,200,226,179,181,206,206,161,161,254,254
QAc-G-0200,TMA,Garden,0,0,200,212,173,181,206,206,161,161,250,256
QAc-G-0201,TMA,Garden,0,0,200,224,177,181,206,206,161,161,250,250
QAc-G-0202,TMA,Garden,0,0,0,0,173,181,206,206,161,165,242,250
QAc-G-0203,TMA,Garden,0,0,200,226,181,181,206,206,161,161,250,250
QAc-G-0204,TMA,Garden,0,0,200,212,173,175,206,206,161,161,250,254
QAc-G-0205,TMA,Garden,0,0,202,210,175,185,206,206,165,165,262,262
QAc-G-0206,TMA,Garden,0,0,208,210,185,185,206,206,165,171,252,262
QAc-G-0207,TMA,Garden,0,0,200,216,173,175,206,206,165,173,242,256
QAc-G-0208,TMA,Garden,0,0,202,212,171,175,206,206,165,165,242,262
QAc-G-0209,TMA,Garden,0,0,200,210,175,185,206,206,165,165,242,262
QAc-G-0210,TMA,Garden,0,0,210,226,181,185,206,206,165,173,262,262
QAc-G-0211,TMA,Garden,0,0,210,216,175,181,206,206,173,173,242,252
QAc-G-0212,TMA,Garden,0,0,202,212,175,181,206,206,165,173,256,262
QAc-G-0213,TMA,Garden,0,0,200,218,173,181,206,206,165,173,256,262
QAc-G-0214,TMA,Garden,0,0,202,212,175,175,206,206,165,165,246,262
QAc-G-0215,TMA,Garden,0,0,208,216,175,185,206,206,173,173,246,256
QAc-G-0216,TMA,Garden,0,0,200,200,171,171,206,208,163,165,242,252
QAc-G-0217,TMA,Garden,0,0,202,202,171,181,206,206,173,173,242,262
QAc-G-0218,TMA,Garden,0,0,202,218,181,181,206,206,173,173,242,256
