Ind,Pop,C1,C2,C3,C4,C5
QAc-W-0001,Porter,0.007,0.004,0.981,0.003,0.004
QAc-W-0002,Porter,0.322,0.03,0.629,0.013,0.006
QAc-W-0003,Porter,0.016,0.006,0.912,0.035,0.031
QAc-W-0004,Porter,0.004,0.005,0.978,0.004,0.008
QAc-W-0005,Porter,0.004,0.007,0.98,0.006,0.004
QAc-W-0006,Porter,0.005,0.006,0.98,0.004,0.006
QAc-W-0007,Porter,0.005,0.007,0.979,0.004,0.005
QAc-W-0008,Porter,0.012,0.011,0.969,0.004,0.004
QAc-W-0009,Porter,0.634,0.137,0.191,0.022,0.017
QAc-W-0010,Porter,0.021,0.035,0.919,0.02,0.005
QAc-W-0011,Porter,0.048,0.007,0.899,0.033,0.014
QAc-W-0012,Porter,0.01,0.01,0.97,0.006,0.005
QAc-W-0013,Porter,0.796,0.007,0.112,0.009,0.076
QAc-W-0014,Porter,0.006,0.017,0.964,0.009,0.004
QAc-W-0015,Porter,0.173,0.067,0.215,0.495,0.049
QAc-W-0016,Porter,0.022,0.041,0.877,0.021,0.039
QAc-W-0017,Porter,0.411,0.139,0.2,0.207,0.043
QAc-W-0018,Porter,0.114,0.019,0.808,0.005,0.054
QAc-W-0019,Porter,0.008,0.012,0.968,0.005,0.007
QAc-W-0020,Porter,0.018,0.005,0.968,0.005,0.003
QAc-W-0021,Porter,0.022,0.028,0.712,0.005,0.233
QAc-W-0022,Porter,0.391,0.161,0.329,0.053,0.067
QAc-W-0023,Porter,0.435,0.126,0.39,0.007,0.042
QAc-W-0024,Porter,0.011,0.011,0.776,0.019,0.183
QAc-W-0025,Porter,0.011,0.021,0.943,0.007,0.018
QAc-W-0026,Porter,0.012,0.023,0.914,0.026,0.024
QAc-W-0027,Porter,0.009,0.009,0.969,0.005,0.007
QAc-W-0028,Porter,0.026,0.007,0.954,0.009,0.004
QAc-W-0029,Porter,0.045,0.007,0.937,0.003,0.008
QAc-W-0030,Porter,0.376,0.009,0.536,0.064,0.016
QAc-W-0031,Porter,0.009,0.005,0.942,0.004,0.041
QAc-W-0032,Porter,0.006,0.008,0.978,0.003,0.004
QAc-W-0033,Porter,0.061,0.09,0.82,0.012,0.017
QAc-W-0034,Porter,0.017,0.012,0.96,0.004,0.008
QAc-W-0035,Porter,0.039,0.036,0.847,0.064,0.013
QAc-W-0036,Porter,0.007,0.009,0.976,0.004,0.004
QAc-W-0037,Porter,0.018,0.018,0.933,0.018,0.013
QAc-W-0038,Porter,0.033,0.009,0.89,0.062,0.006
QAc-W-0039,Porter,0.008,0.007,0.939,0.034,0.012
QAc-W-0040,Porter,0.007,0.202,0.761,0.011,0.019
QAc-W-0041,Porter,0.046,0.013,0.799,0.007,0.135
NA,NA,0,0,0,0,0
QAc-W-0042,Magazine,0.968,0.006,0.008,0.008,0.01
QAc-W-0043,Magazine,0.948,0.007,0.007,0.03,0.007
QAc-W-0044,Magazine,0.921,0.018,0.019,0.037,0.004
QAc-W-0045,Magazine,0.976,0.006,0.007,0.006,0.005
QAc-W-0046,Magazine,0.973,0.006,0.005,0.007,0.008
QAc-W-0047,Magazine,0.922,0.014,0.01,0.05,0.003
QAc-W-0048,Magazine,0.975,0.005,0.01,0.004,0.006
QAc-W-0049,Magazine,0.979,0.005,0.007,0.004,0.006
QAc-W-0050,Magazine,0.973,0.012,0.005,0.005,0.006
QAc-W-0051,Magazine,0.942,0.006,0.017,0.021,0.014
QAc-W-0052,Magazine,0.672,0.02,0.281,0.021,0.006
QAc-W-0053,Magazine,0.961,0.014,0.013,0.006,0.006
QAc-W-0054,Magazine,0.685,0.029,0.011,0.266,0.009
QAc-W-0055,Magazine,0.511,0.018,0.007,0.44,0.023
QAc-W-0056,Magazine,0.9,0.013,0.047,0.017,0.023
QAc-W-0057,Magazine,0.92,0.008,0.007,0.051,0.014
QAc-W-0058,Magazine,0.95,0.003,0.005,0.017,0.025
QAc-W-0059,Magazine,0.978,0.005,0.006,0.008,0.003
QAc-W-0060,Magazine,0.007,0.011,0.005,0.973,0.004
QAc-W-0061,Magazine,0.064,0.075,0.066,0.78,0.015
QAc-W-0062,Magazine,0.004,0.008,0.004,0.977,0.007
QAc-W-0063,Magazine,0.009,0.019,0.019,0.827,0.126
QAc-W-0064,Magazine,0.007,0.008,0.008,0.967,0.011
QAc-W-0065,Magazine,0.063,0.032,0.019,0.873,0.013
QAc-W-0066,Magazine,0.006,0.004,0.006,0.969,0.015
QAc-W-0067,Magazine,0.006,0.029,0.004,0.949,0.012
QAc-W-0068,Magazine,0.006,0.004,0.006,0.976,0.007
QAc-W-0069,Magazine,0.003,0.004,0.006,0.978,0.009
QAc-W-0070,Magazine,0.003,0.004,0.003,0.986,0.004
QAc-W-0071,Magazine,0.006,0.005,0.005,0.977,0.006
QAc-W-0072,Magazine,0.01,0.06,0.023,0.899,0.007
QAc-W-0073,Magazine,0.035,0.025,0.037,0.883,0.02
QAc-W-0074,Magazine,0.005,0.008,0.01,0.967,0.009
QAc-W-0075,Magazine,0.004,0.004,0.004,0.983,0.006
QAc-W-0076,Magazine,0.006,0.019,0.004,0.966,0.006
QAc-W-0077,Magazine,0.021,0.007,0.013,0.954,0.005
NA,NA,0,0,0,0,0
QAc-W-0078,Pryor,0.017,0.05,0.048,0.014,0.871
QAc-W-0079,Pryor,0.006,0.007,0.007,0.007,0.974
QAc-W-0080,Pryor,0.005,0.006,0.039,0.005,0.944
QAc-W-0081,Pryor,0.006,0.004,0.005,0.006,0.979
QAc-W-0082,Pryor,0.409,0.005,0.007,0.006,0.572
QAc-W-0083,Pryor,0.007,0.01,0.009,0.02,0.954
QAc-W-0084,Pryor,0.004,0.004,0.006,0.004,0.983
QAc-W-0085,Pryor,0.005,0.011,0.004,0.005,0.975
QAc-W-0086,Pryor,0.007,0.008,0.006,0.004,0.975
QAc-W-0087,Pryor,0.005,0.007,0.005,0.003,0.98
QAc-W-0088,Pryor,0.008,0.004,0.004,0.004,0.979
QAc-W-0089,Pryor,0.007,0.004,0.007,0.005,0.977
QAc-W-0090,Pryor,0.006,0.004,0.006,0.004,0.979
QAc-W-0091,Pryor,0.004,0.005,0.006,0.003,0.982
QAc-W-0092,Pryor,0.042,0.015,0.135,0.006,0.802
QAc-W-0093,Pryor,0.147,0.036,0.043,0.007,0.767
QAc-W-0094,Pryor,0.019,0.011,0.08,0.011,0.879
QAc-W-0095,Pryor,0.007,0.007,0.017,0.009,0.961
QAc-W-0096,Pryor,0.02,0.015,0.042,0.045,0.879
QAc-W-0097,Pryor,0.278,0.008,0.064,0.009,0.641
QAc-W-0098,Pryor,0.01,0.004,0.007,0.004,0.975
QAc-W-0099,Pryor,0.016,0.07,0.008,0.005,0.9
QAc-W-0100,Pryor,0.004,0.004,0.004,0.004,0.984
QAc-W-0101,Pryor,0.005,0.007,0.007,0.006,0.975
QAc-W-0104,Pryor,0.013,0.014,0.006,0.005,0.962
QAc-W-0105,Pryor,0.004,0.004,0.004,0.005,0.984
QAc-W-0106,Pryor,0.007,0.006,0.008,0.005,0.973
QAc-W-0107,Pryor,0.013,0.008,0.007,0.027,0.945
QAc-W-0108,Pryor,0.01,0.009,0.005,0.021,0.955
QAc-W-0109,Pryor,0.025,0.006,0.009,0.023,0.936
QAc-W-0110,Pryor,0.006,0.01,0.727,0.006,0.251
QAc-W-0111,Pryor,0.007,0.005,0.005,0.008,0.975
QAc-W-0112,Pryor,0.007,0.009,0.008,0.004,0.971
NA,NA,0,0,0,0,0
QAc-W-0113,Sugar_Loaf,0.008,0.969,0.011,0.006,0.006
QAc-W-0114,Sugar_Loaf,0.01,0.95,0.009,0.008,0.023
QAc-W-0115,Sugar_Loaf,0.005,0.969,0.012,0.007,0.008
QAc-W-0116,Sugar_Loaf,0.015,0.961,0.012,0.004,0.007
QAc-W-0117,Sugar_Loaf,0.007,0.979,0.006,0.004,0.003
QAc-W-0118,Sugar_Loaf,0.009,0.932,0.007,0.035,0.017
QAc-W-0119,Sugar_Loaf,0.014,0.963,0.008,0.008,0.007
QAc-W-0120,Sugar_Loaf,0.008,0.96,0.011,0.012,0.009
QAc-W-0121,Sugar_Loaf,0.013,0.957,0.006,0.02,0.004
QAc-W-0122,Sugar_Loaf,0.026,0.946,0.017,0.005,0.006
QAc-W-0123,Sugar_Loaf,0.022,0.938,0.007,0.02,0.013
QAc-W-0124,Sugar_Loaf,0.008,0.709,0.046,0.146,0.092
QAc-W-0125,Sugar_Loaf,0.008,0.956,0.008,0.008,0.02
QAc-W-0126,Sugar_Loaf,0.026,0.915,0.011,0.011,0.037
QAc-W-0127,Sugar_Loaf,0.006,0.974,0.009,0.005,0.005
QAc-W-0128,Sugar_Loaf,0.012,0.897,0.024,0.007,0.059
QAc-W-0129,Sugar_Loaf,0.01,0.897,0.072,0.014,0.006
QAc-W-0130,Sugar_Loaf,0.006,0.95,0.032,0.005,0.007
QAc-W-0131,Sugar_Loaf,0.036,0.94,0.007,0.007,0.01
QAc-W-0132,Sugar_Loaf,0.016,0.904,0.018,0.048,0.014
QAc-W-0133,Sugar_Loaf,0.056,0.666,0.01,0.046,0.222
QAc-W-0134,Sugar_Loaf,0.006,0.979,0.005,0.006,0.005
QAc-W-0135,Sugar_Loaf,0.009,0.895,0.062,0.028,0.006
QAc-W-0136,Sugar_Loaf,0.005,0.982,0.005,0.004,0.005
QAc-W-0137,Sugar_Loaf,0.005,0.984,0.004,0.005,0.003
QAc-W-0138,Sugar_Loaf,0.004,0.982,0.006,0.004,0.003
QAc-W-0139,Sugar_Loaf,0.022,0.682,0.086,0.089,0.121
QAc-W-0140,Sugar_Loaf,0.065,0.901,0.019,0.006,0.009
QAc-W-0141,Sugar_Loaf,0.18,0.709,0.078,0.019,0.014
QAc-W-0142,Sugar_Loaf,0.006,0.977,0.004,0.008,0.004
QAc-W-0143,Sugar_Loaf,0.009,0.964,0.012,0.006,0.009
QAc-W-0144,Sugar_Loaf,0.051,0.927,0.009,0.006,0.007
QAc-W-0145,Sugar_Loaf,0.008,0.98,0.004,0.006,0.003
QAc-W-0146,Sugar_Loaf,0.006,0.973,0.01,0.005,0.007
QAc-W-0147,Sugar_Loaf,0.004,0.981,0.005,0.005,0.004
QAc-W-0148,Sugar_Loaf,0.005,0.977,0.007,0.006,0.003
QAc-W-0149,Sugar_Loaf,0.044,0.921,0.017,0.006,0.012
QAc-W-0150,Sugar_Loaf,0.01,0.901,0.067,0.008,0.015
QAc-W-0151,Sugar_Loaf,0.007,0.961,0.016,0.007,0.009
QAc-W-0152,Sugar_Loaf,0.008,0.973,0.005,0.009,0.004
QAc-W-0153,Sugar_Loaf,0.743,0.1,0.019,0.054,0.084
QAc-W-0154,Sugar_Loaf,0.016,0.884,0.089,0.005,0.006
QAc-W-0155,Sugar_Loaf,0.007,0.977,0.006,0.006,0.004
QAc-W-0156,Sugar_Loaf,0.011,0.859,0.072,0.004,0.054
QAc-W-0157,Sugar_Loaf,0.038,0.934,0.009,0.016,0.004
QAc-W-0158,Sugar_Loaf,0.009,0.88,0.052,0.011,0.048
QAc-W-0159,Sugar_Loaf,0.008,0.971,0.012,0.004,0.006
QAc-W-0160,Sugar_Loaf,0.008,0.96,0.021,0.006,0.005
QAc-W-0161,Sugar_Loaf,0.012,0.93,0.047,0.004,0.007
QAc-W-0162,Sugar_Loaf,0.018,0.813,0.004,0.159,0.006
QAc-W-0163,Sugar_Loaf,0.033,0.95,0.006,0.007,0.004
QAc-W-0164,Sugar_Loaf,0.008,0.968,0.006,0.011,0.006
QAc-W-0165,Sugar_Loaf,0.009,0.952,0.006,0.029,0.004
QAc-W-0166,Sugar_Loaf,0.011,0.928,0.044,0.01,0.007
NA,NA,0,0,0,0,0
QAc-W-0167,Kessler,0.966,0.007,0.006,0.007,0.013
QAc-W-0168,Kessler,0.467,0.352,0.05,0.119,0.012
QAc-W-0169,Kessler,0.898,0.011,0.073,0.013,0.006
QAc-W-0170,Kessler,0.952,0.012,0.022,0.006,0.008
QAc-W-0171,Kessler,0.971,0.007,0.006,0.006,0.01
QAc-W-0172,Kessler,0.86,0.09,0.036,0.003,0.011
QAc-W-0173,Kessler,0.907,0.038,0.035,0.011,0.009
QAc-W-0174,Kessler,0.954,0.022,0.007,0.01,0.006
